type, size, algo, threshold, avg_ms
random, 500, quick, -1, 0
random, 500, best, 16, 0
random, 600, quick, -1, 0
random, 600, best, 16, 0
random, 700, quick, -1, 0
random, 700, best, 16, 0
random, 800, quick, -1, 0
random, 800, best, 16, 0
random, 900, quick, -1, 0
random, 900, best, 16, 0
random, 1000, quick, -1, 0
random, 1000, best, 16, 0
random, 1100, quick, -1, 0
random, 1100, best, 16, 0
random, 1200, quick, -1, 0
random, 1200, best, 16, 0
random, 1300, quick, -1, 0
random, 1300, best, 16, 0
random, 1400, quick, -1, 0
random, 1400, best, 16, 0
random, 1500, quick, -1, 0
random, 1500, best, 16, 0
random, 1600, quick, -1, 0
random, 1600, best, 16, 0
random, 1700, quick, -1, 0
random, 1700, best, 16, 0
random, 1800, quick, -1, 0
random, 1800, best, 16, 0
random, 1900, quick, -1, 0
random, 1900, best, 16, 0
random, 2000, quick, -1, 0
random, 2000, best, 16, 0
random, 2100, quick, -1, 0
random, 2100, best, 16, 0
random, 2200, quick, -1, 0
random, 2200, best, 16, 0
random, 2300, quick, -1, 0
random, 2300, best, 16, 0
random, 2400, quick, -1, 0
random, 2400, best, 16, 0
random, 2500, quick, -1, 0
random, 2500, best, 16, 0
random, 2600, quick, -1, 0
random, 2600, best, 16, 0
random, 2700, quick, -1, 0
random, 2700, best, 16, 0
random, 2800, quick, -1, 0
random, 2800, best, 16, 0
random, 2900, quick, -1, 0
random, 2900, best, 16, 0
random, 3000, quick, -1, 0
random, 3000, best, 16, 0
random, 3100, quick, -1, 0
random, 3100, best, 16, 0
random, 3200, quick, -1, 0
random, 3200, best, 16, 0
random, 3300, quick, -1, 0
random, 3300, best, 16, 0
random, 3400, quick, -1, 0
random, 3400, best, 16, 0
random, 3500, quick, -1, 0
random, 3500, best, 16, 0
random, 3600, quick, -1, 0
random, 3600, best, 16, 0
random, 3700, quick, -1, 0
random, 3700, best, 16, 0
random, 3800, quick, -1, 0
random, 3800, best, 16, 0
random, 3900, quick, -1, 0
random, 3900, best, 16, 0
random, 4000, quick, -1, 0
random, 4000, best, 16, 0
random, 4100, quick, -1, 0
random, 4100, best, 16, 0
random, 4200, quick, -1, 0
random, 4200, best, 16, 0
random, 4300, quick, -1, 0
random, 4300, best, 16, 0
random, 4400, quick, -1, 0
random, 4400, best, 16, 0
random, 4500, quick, -1, 0
random, 4500, best, 16, 0
random, 4600, quick, -1, 0
random, 4600, best, 16, 0
random, 4700, quick, -1, 0
random, 4700, best, 16, 0
random, 4800, quick, -1, 0
random, 4800, best, 16, 0
random, 4900, quick, -1, 0
random, 4900, best, 16, 0
random, 5000, quick, -1, 0
random, 5000, best, 16, 0
random, 5100, quick, -1, 0
random, 5100, best, 16, 0
random, 5200, quick, -1, 0
random, 5200, best, 16, 0
random, 5300, quick, -1, 0
random, 5300, best, 16, 0
random, 5400, quick, -1, 0
random, 5400, best, 16, 0
random, 5500, quick, -1, 0
random, 5500, best, 16, 0
random, 5600, quick, -1, 0
random, 5600, best, 16, 0
random, 5700, quick, -1, 0
random, 5700, best, 16, 0
random, 5800, quick, -1, 0
random, 5800, best, 16, 0
random, 5900, quick, -1, 0
random, 5900, best, 16, 0
random, 6000, quick, -1, 0
random, 6000, best, 16, 0
random, 6100, quick, -1, 0
random, 6100, best, 16, 0
random, 6200, quick, -1, 0
random, 6200, best, 16, 0
random, 6300, quick, -1, 0
random, 6300, best, 16, 0
random, 6400, quick, -1, 0
random, 6400, best, 16, 0
random, 6500, quick, -1, 0
random, 6500, best, 16, 0
random, 6600, quick, -1, 0
random, 6600, best, 16, 0
random, 6700, quick, -1, 0
random, 6700, best, 16, 0
random, 6800, quick, -1, 0
random, 6800, best, 16, 0
random, 6900, quick, -1, 0
random, 6900, best, 16, 0
random, 7000, quick, -1, 0
random, 7000, best, 16, 0
random, 7100, quick, -1, 0
random, 7100, best, 16, 0
random, 7200, quick, -1, 0
random, 7200, best, 16, 0
random, 7300, quick, -1, 0
random, 7300, best, 16, 0
random, 7400, quick, -1, 0
random, 7400, best, 16, 0
random, 7500, quick, -1, 0
random, 7500, best, 16, 0
random, 7600, quick, -1, 1
random, 7600, best, 16, 0
random, 7700, quick, -1, 1
random, 7700, best, 16, 0
random, 7800, quick, -1, 1
random, 7800, best, 16, 0
random, 7900, quick, -1, 1
random, 7900, best, 16, 0
random, 8000, quick, -1, 1
random, 8000, best, 16, 0
random, 8100, quick, -1, 1
random, 8100, best, 16, 0
random, 8200, quick, -1, 1
random, 8200, best, 16, 0
random, 8300, quick, -1, 1
random, 8300, best, 16, 0
random, 8400, quick, -1, 1
random, 8400, best, 16, 0
random, 8500, quick, -1, 1
random, 8500, best, 16, 0
random, 8600, quick, -1, 1
random, 8600, best, 16, 0
random, 8700, quick, -1, 1
random, 8700, best, 16, 0
random, 8800, quick, -1, 1
random, 8800, best, 16, 0
random, 8900, quick, -1, 1
random, 8900, best, 16, 0
random, 9000, quick, -1, 1
random, 9000, best, 16, 0
random, 9100, quick, -1, 1
random, 9100, best, 16, 0
random, 9200, quick, -1, 1
random, 9200, best, 16, 0
random, 9300, quick, -1, 1
random, 9300, best, 16, 0
random, 9400, quick, -1, 1
random, 9400, best, 16, 0
random, 9500, quick, -1, 1
random, 9500, best, 16, 0
random, 9600, quick, -1, 1
random, 9600, best, 16, 0
random, 9700, quick, -1, 1
random, 9700, best, 16, 0
random, 9800, quick, -1, 1
random, 9800, best, 16, 0
random, 9900, quick, -1, 1
random, 9900, best, 16, 0
random, 10000, quick, -1, 1
random, 10000, best, 16, 0
random, 10100, quick, -1, 1
random, 10100, best, 16, 0
random, 10200, quick, -1, 1
random, 10200, best, 16, 0
random, 10300, quick, -1, 1
random, 10300, best, 16, 0
random, 10400, quick, -1, 1
random, 10400, best, 16, 0
random, 10500, quick, -1, 1
random, 10500, best, 16, 0
random, 10600, quick, -1, 1
